STATION_ID,HYDRO_ID
001,600090349
002,600085972
003,600090524
004,600090524
005,600090524
006,600090523
007,600085084
008,200211508
008,600091658
009,600058637
010,600057574
011,200055979
011,600091273
012,600091273
013,600091273
013001,600082412
013001,600091060
013002,600082412
013003,200065558
013004,600082412
013005,600082412
013005,600091060
013006,200069562
013006,600091060
013007,600057404
013008,600061350
013009,200065592
013009,600077396
013010,
013011,200065558
013012,200065250
013012,200065251
013012,600059300
013013,600014138
013015,600082412
013016,200084643
013016,600002728
013016,600089677
013017,600082412
013018,600059285
013019,600082412
013020,600082412
013021,600082412
013022,600082412
013023,600082412
013024,
013025,
013026,
013027,200052024
013028,200059256
013029,600062544
013029,600065099
013030,200082343
013030,600090722
013031,200072475
013032,200068236
013033,200067016
013034,200065696
013035,200065696
013036,600090723
013037,600090723
013038,600082461
013039,600082435
013040,600082456
013041,200054628
013042,200054628
013043,200054925
013044,600060384
013045,600014138
013045,600060384
013046,600060384
013047,600060384
013048,600054354
013049,600054354
013050,600063638
013051,600060894
013051,600078693
013052,600057404
013120,200084982
013121,200210863
013121,600082456
013122,600082435
013123,200052145
013123,600064902
013124,600064817
013125,200052336
013126,200052149
013126,600064902
013127,200052252
013128,200051249
013128,600065199
013129,200052151
013130,200052142
013130,600029597
013130,600064902
013131,600065099
013132,200051569
013132,600065099
013133,600061704
013134,600082412
013135,200059571
013136,200059256
013137,200057784
013137,600062667
013137,600091042
013138,200054628
013139,200054925
013140,200052366
013141,
013142,600011448
013142,600062536
013143,600062580
013144,600062776
013145,600062951
013146,600088884
013147,600063054
013148,600063159
013149,200058145
013149,600029597
013150,600065199
013151,
013152,600063638
013153,600082412
013154,600082412
013155,600082412
013156,600060384
013157,600060384
013158,600060384
013159,600058145
013160,200083201
013160,600090522
013161,200082550
013162,600082412
013163,600089677
013164,600082412
013165,600082412
013166,600082412
013167,600090588
013167,600091238
013168,600082412
013169,600082412
013170,600082412
013171,600082456
013172,200082123
013173,200083250
013174,200083880
013175,200053842
013175,600090588
013176,200082244
013177,200082123
013178,600063638
013179,
013180,
013181,600090723
013181,600091202
013182,600082412
013183,200082358
013184,200052122
013185,200052148
013186,200054925
013186,600031637
013187,200052225
013188,600059373
013189,
013190,200060333
014,200035746
014,600091273
014001,600062951
014002,600062776
014003,600082461
015,200032891
015,600091273
016,600090575
017,200022695
017,600090319
018,600090319
019,200007780
019,600091631
01F,
01I,
020,200001822
020,600091631
021,200000410
021,600091631
022,600000002
023,600000002
023001,200204571
023001,600082630
023002,600000001
023004,200188477
023004,600090850
023005,
023006,200188477
023007,200188477
023009,200188477
023010,200188375
023011,600089695
023012,600089695
023013,
023014,
023015,
023017,
023018,
023019,
023020,
023021,
023022,
023023,
023024,
023025,200212427
023025,600090397
023026,
023027,
023028,
023029,
023030,600031637
023030,600089695
023031,200202152
023031,600001364
023032,200197390
023032,600060858
023032,600082630
023033,200197863
023033,600082630
023034,200199686
023036,
023037,
023038,
023039,
023040,
023041,
023042,
023048,200203647
023049,200190272
023050,200190618
023051,600000001
023051,600031637
023052,600000001
023053,600000531
023054,600002801
023055,600003386
023056,600081368
023057,600003219
023058,
023059,600003525
023060,600002494
023061,600003333
023061,600017897
023062,600003216
023063,600003943
023064,600004506
023065,600081368
023066,200204000
023067,600031637
023068,
023069,
023120,200193302
023120,600005068
023120,600043151
023121,600005192
023122,600005264
023123,600005264
023124,600004738
023125,600003333
023127,200201518
023127,600001364
023128,600002494
023129,600082630
023130,600000001
023130,600068092
023131,200195536
023131,600003534
024001,600082885
024002,600003009
024003,600008709
024003,600031637
024004,600081368
024005,600089757
024006,600090747
024007,600002494
024008,600003333
024009,600004882
024010,600004707
024011,600002801
025,600000002
025011,600000001
025013,600000001
025014,600000001
025015,600000001
025016,600000001
025017,600000001
025020,600000001
025023,600000001
025026,200205517
025030,600000001
026,600000002
027,600000002
028,600000002
029,600000002
02F,600085972
02I,
030,600000002
031,600000002
031,600082412
031055,600000002
032,
033,
033007,
033012,600017851
033014,600019085
033015,200170886
033015,600019085
033016,200172026
033016,600017981
033017,600031894
033018,200171897
033018,600051345
033019,200163147
033019,600054802
033020,
033021,
033022,200162502
033023,600022647
033024,200163112
033024,600022647
033025,
033026,
033027,
033028,200163112
033028,600022647
033029,600022647
033029,600023648
033030,
033031,200162720
033031,600023648
033032,200162750
033033,600032165
033034,
033035,200162750
033036,600026530
033037,600026530
033038,
033039,600026530
033040,200155748
033040,600026619
033041,
033042,200155252
033046,200169353
033046,600090186
033047,600019656
033048,600019656
033049,
033050,600050219
033050,600090186
033051,
033052,200168614
033052,200168911
033052,600019656
033053,200168614
033054,200154765
033054,600090903
033055,
033056,200212297
033056,600090935
033057,
033058,200163552
033059,
033060,200163552
033060,600044247
033061,600022303
033061,600039412
033062,
033063,200161611
033064,200161611
033065,
033069,
033070,200167422
033071,200166397
033072,200162871
033073,600026741
033074,600026741
033075,200157434
033076,200163305
033077,200160947
033077,600090379
033078,200159955
033079,200157546
033080,200159917
033081,200160101
033082,200156495
033083,200158528
033083,600090323
033084,200169370
033084,600051345
033085,600022279
033085,600054495
033086,600023648
033087,200168248
033087,600026741
033088,200163201
033088,600022663
033089,200161907
033090,200163260
033091,200165947
033092,200165200
033093,200163111
033094,200164562
033095,200156699
033096,600019085
033097,200170678
033098,200169061
033098,600019580
033099,200167148
033100,600083618
033101,600090323
033102,200166569
033102,600090323
033103,200163046
033103,600090323
033104,600090323
033105,200161476
033105,600026741
033105,600090323
033106,
033107,
033108,200167298
033108,600018626
033109,200168248
033110,
033111,200159571
033112,200161853
033113,200159307
033115,200167322
033116,200164539
033116,600022279
033117,200163172
033117,600090802
033119,200161958
033119,600026741
033120,600081938
033130,600090185
033131,600090185
033132,600090185
033133,600090185
033134,600019578
033135,600090186
033136,600090186
033137,200168911
033137,600019656
033138,200169672
033139,600017146
033140,600090298
033141,600090298
033142,600090299
033143,600091165
033144,600026741
033144,600083858
033145,200162907
033146,200162585
033146,600022944
033147,200162569
033147,600009380
033147,600022944
033148,600023648
033149,600083858
033150,600083861
033151,600083912
033152,600081945
033153,200163798
033154,600023288
033155,200158588
033156,200157077
033159,600019380
033160,600083559
033161,600022944
033162,200156848
033162,600026741
033163,600020187
033165,200161611
033166,200161265
033167,200160610
033168,200160905
033169,200160588
033170,200165927
033171,600018606
033171,600086534
033172,600018297
033173,600022944
033174,600022944
033175,600022303
033176,600021340
033177,600090851
033178,600020862
033179,600090903
033180,600017146
033180,600020187
033181,600020187
033182,600081941
033184,600018464
033185,600020106
033186,600090879
033187,600081937
033188,200172942
033189,200170409
033190,600090298
033191,600021100
033192,600020187
033193,600020452
033194,600017270
033195,600019960
033196,600017410
033197,600021621
033198,200153747
033199,200156495
033200,200156495
033201,200157770
033202,200157434
033203,200153529
033204,200153529
033204,600063054
033205,600083635
033206,600081883
033207,600091164
033208,600019075
033209,600019075
033210,600021448
033212,200162720
033212,600023648
033212,600068307
033213,200172366
033213,600017731
033214,200171616
033214,600011146
033215,200161853
033216,600090851
033217,200159280
033218,600026741
033219,600026741
033220,600022663
033221,200164883
033222,600023648
033223,600023648
033224,600081855
033225,600081938
033226,600081938
033227,200167422
033228,200161411
033229,200161342
033230,200161164
033231,200161411
033232,200161164
033233,200161411
033234,200164987
033234,600090323
033235,200168926
033235,600081863
033236,200169202
033236,600081863
033237,200160496
033237,600090323
033239,200159955
033240,200161725
033240,600023330
033241,600018626
034,600000002
034,600037416
034001,600090879
034002,600026619
034003,600090851
034004,600018411
034005,600018464
034005,600082986
034006,600058542
034006,600090477
034007,600017410
034008,600081883
034010,600024630
034011,600019683
034012,600083710
034013,
034014,600017371
034015,600025217
034016,600083858
034017,600090298
035,600063559
036,600000002
037,
038,
039,
03F,
03I,
040,600000002
041,600000002
042,600000002
043,600000002
043001,
043004,
043005,200206977
043006,
043007,
043008,
043009,
043010,200193794
043011,600000001
043012,600039833
043013,600000001
043014,600000001
043015,
043016,
043017,200204292
043018,600000230
043019,600000104
043020,600000285
043021,200204452
043022,200203966
043023,200194208
043023,600091889
043024,
043025,
043026,
043028,200193618
043029,200193618
043030,200194020
043031,200194020
043032,200194020
043032,600077310
043033,200194202
043034,200194202
043035,600003014
043036,600002625
043037,600003239
043038,600002992
043039,
043040,600091646
043041,
043042,600044247
043043,
043045,600082633
043046,600000001
043047,600000001
043048,
043049,
043050,
043051,
043052,
043055,200202809
043055,600000955
043056,600001034
043056,600044445
043057,200202792
043057,200202937
043057,600000955
043059,
043060,200204117
043060,600006663
043061,200203483
043061,600062951
043062,
043063,
043064,600000209
043065,
043066,600000001
043067,
043068,200206505
043068,600000285
043069,200206505
043069,600000285
043070,600001138
043071,600082616
043072,600002303
043073,600003627
043074,600000832
043075,600001424
043076,600002480
043077,600082641
043078,600073867
043078,600082653
043079,600082629
043080,600000821
043080,600006260
043081,600090653
043082,600001025
043083,600000664
043084,600002601
043084,600081967
043085,600082633
043086,600082626
043087,600082645
043088,600082608
043089,600000202
043090,600000962
043090,600044247
043091,600002045
043092,600003623
043093,600000821
043094,600002045
043094,600075824
043095,200203458
043095,600000877
043095,600010891
043096,200206447
043097,200199121
043098,200207797
043099,200203758
043099,600089759
043100,600000197
043102,600003877
043103,600003877
043104,600003877
043105,600003877
043106,600003851
043107,600004331
043108,600003934
043109,600003934
043110,600003934
043111,600003559
043112,600004331
043113,600004331
043114,600004331
043115,600004130
043116,600002500
043117,600002051
043117,600046184
043118,600002197
043119,600002252
043120,600003307
043121,200207429
043122,600090541
043123,200204168
043123,600000602
043124,600000602
043125,200195791
043125,600003414
043126,600003414
043127,600091537
043128,600002728
043129,600002900
043134,600002992
043135,600002992
043136,600002992
043137,600002992
043137,600003009
043138,600002992
043139,600002992
043140,600000377
043140,600061704
043147,600002324
043148,600003394
043149,600003414
043150,600001374
043151,600002300
043152,600002131
043153,600002161
043154,600002728
043155,600003307
043156,600003494
043157,600003555
043158,600002054
043159,600003349
043160,600002104
043161,600002633
043162,600002629
043163,600002608
043164,600082644
043165,600003025
043165,600029845
043166,600001411
043167,600003604
043168,600000602
043169,600090766
043170,600000920
043171,600001295
043172,600001529
043173,600001462
043174,600001295
043174,600001701
043175,600001490
043176,600021882
043177,
043178,200193425
043178,600091889
043179,200194156
043180,200194381
043181,200205604
043182,200206706
043183,200206773
043184,600002900
043185,600003014
043185,600091272
043186,
043187,600004130
043188,600002992
043189,
043190,600001452
043190,600002900
043191,600003014
043192,
043193,
043194,600002031
043195,600001892
043196,200206751
043197,600003072
043198,600005003
043199,600005016
043200,200205604
043202,600003992
044,600000002
044001,600002184
044002,600003218
044003,600003064
044004,600001552
044005,600003877
044006,600003222
044007,600003591
044008,600004703
044009,600002251
044010,600090275
044011,600082653
044012,600003394
044013,600001452
044013,600082629
044014,600082647
044015,600001007
044016,600001490
044017,600002209
044018,600082611
044019,600005140
044021,600001945
044022,600002500
044023,600003144
044024,
044025,
044026,600002648
044027,600003555
044028,600002629
044029,600004297
044030,600001529
044031,600000764
044032,600003627
044032,600062211
044033,600001025
044034,600002992
044035,600000962
044036,600002045
044333,600011787
045,600000002
045013,600000209
045014,600000237
045021,200194219
045022,600000001
045023,600000001
045024,600000001
045025,600000001
045027,600000001
045028,600000001
045055,600000001
045061,600000647
045064,600000001
046,600000002
047,600000002
048,600000002
049,600000002
04I,
050,600000002
051,600000002
052,600000002
053,600000002
053001,600085972
053002,600085972
053003,600000002
053004,600000002
053004F,200094497
053004F,600085972
053004S,600000002
053005,600000002
053006,600000002
053007,600000002
053008,600000002
053008,600003216
053009,600000002
053010,600000002
053011,600000002
053011,600051345
053012,600000002
053013,600000002
053014,600000002
053014,600083315
053015,600000002
053016,600000002
053016,600090572
053017,600000002
053018,600000002
053019,600000002
053020,600000002
053021,600000002
053022,600000002
053023,600000002
053023,600051345
053024,600000002
053025,600000002
053026,600000002
053027,600000002
053028,600000002
053029,600000002
053030,600000002
053031,600000002
053032,600000002
053033,600000002
053034,600000002
053035,600000002
053037,200109822
053037,600091273
053039,600045781
053041,
053042,600045781
053043,
053044,
053045,
053046,600002276
053047,
053048,
053049,
053050,
053051,
053052,
053053,
053054,
053055,
053056,
053057,
053058,
053059,
053060,
053061,
053062,
053063,
053064,600000002
053065,600000002
053066,600000002
053067,600000002
053068,600000002
053069,200092409
053069,600019309
053070,
053071,
053072,200095703
053073,
053074,600085972
053075,600085972
053076,600085972
053077,
053078,600089724
053079,
053080,
053081,600085972
053082,
053083,200097768
053084,600028286
053085,
053086,
053087,
053088,
053089,600085972
053090,600085972
053091,
053092,600085972
053093,
053096,
053097,
053098,
053099,
053100,600002010
053101,
053102,600028286
053103,
053104,
053105,
053108,600085972
053109,
053110,
053111,
053112,
053113,600085972
053114,
053115,600000002
053116,600000002
053117,600000002
053118,600047678
053119,200105246
053119,600047411
053201,200092751
053201,600051216
053202,
053203,600015798
053204,200092829
053204,600085972
053205,200095922
053205,600085972
053205W,200103806
053205W,600085972
053206,600085972
053207,600085972
053208,600085972
053209,600085972
053210,200105083
053210,600085972
053211,200105083
053211,600085972
053211S,
053212,600085972
053213,600085972
053214,600085972
053215,600085972
053215A,600085972
053215W,200110168
053215W,600085972
053216,
053218,600085972
053219,200110168
053219,600085972
053220,200110168
053220,600085972
053221,
053222,200287351
053222,600085972
053222A,600000002
053223,600000002
053223,600085972
053223W,600000002
053224,600082022
053225,
053226,200109690
053226,600045781
053227,200116536
053227,600042767
053228,600048076
